medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	author	illustrator	pages
book							9780881660678	0881660671	us	10,000 Baby Names	10,000 Baby Names				Paperback		Baby Names/ Child Care/ English (All)/ Etymology	$3.00	$0.01		4	This book allows the reader to scan through the most contemporary list of girls' and boys' names in print today to find the right name for their baby. The most popular contemporary Australian names are included, along with the names, variations and nicknames actually used by parents. A variety of racial and religious backgrounds is covered as well as the origins, meanings and famous namesakes of each name.		Meadowbrook Press	01-01-1985		17-01-2007										Bruce Lansky		144
book							9783822841037	382284103X	us	1000 Chairs (Taschen 25)	1000 Chairs (Taschen 25)				Paperback		Reference/ Schools, Periods & Styles/ Furniture/ Furniture & Carpentry	$12.99	$9.00		4.5	Sleek, stuffed, buttoned, or bent, in the den or the dining room, the chair is an indicator of its owner's identity. Chairs make up much of the interior landscape of our homes and workplaces, and a comfortable chair is considered a great asset in either location. A rigorous survey of the last 150 years of chairs, 1000 Chairs is a pictorial guide to the axiom "you are where you sit." Writers Charlotte and Peter Fiell argue that, as well as being an icon of identity, the chair is a form through which designers engage in social, political, and even ergonomic rhetoric. A good example is George Nelson's mass-produced modular seating system. Geometrical in design, its austere, mostly rectilinear lines are efficient and economical. The book follows developments and mutations in chair design from the days before art deco through the rise of modernity and into the mid-'90s, when designers like Philippe Starck used such materials as recycled plastic and injection molded polypropylene./ In total there are more than the 1000 advertised illustrations, and each is accompanied by a small text describing the significance of the chair and its designer. The book includes more than 100 capsule biographies of such designers as Charles Rennie Mackintosh, Adolph Loos, and Marcel Breuer. The only problem with 1000 Chairs is, ironically, its own ergonomics. At about eight by six inches and nearly 800 pages, it is an unwieldy little tome. That aside, this is a great book--a must for anyone interested in sitting down. --Loren E. Baldwin/ 		Taschen	2005-05-30 12:00:00 +0000		2007-02-11 01:51:30 -0500										Charlotte Fiell/ Peter Fiell		672
book							9780345303066	0345303067	us	2010: Odyssey Two	2010: Odyssey Two				Mass Market Paperback		British/ Contemporary/ Adventure/ Science Fiction	$7.99	$0.01		4.5	2001: A Space Odyssey shocked, amazed, and delighted millions in the late 1960s. An instant book and movie classic, its fame has grown over the years. Yet along with the almost universal acclaim, a host of questions has grown more insistent through the years, for example: who or what transformed Dave Bowman into the Star-Child? What alien purpose lay behind the monoliths on the Moon and out in space? What could drive HAL to kill the crew? Now all those questions and many more have been answered, in this stunning sequel to the international bestseller. Cosmic in sweep, eloquent in its depiction of Man's place in the Universe, and filled with the romance of space, this novel is a monumental achievement and a must-read for Arthur C. Clarke fans old and new./ "A daring romp through the solar system and a worthy successor to 2001."/ Carl Sagan		Del Rey	12-01-1984		16-01-2007										Arthur C. Clarke		352
book							9780517169049	0517169045	us	2061: Odyssey	2061: Odyssey				Hardcover			$4.99	$3.99					Random House Value Publishing	27-04-1996		16-01-2007										Arthur C. Clarke		
book							9780486999548	0486999548	us	24 Art Nouveau Display Fonts CD-ROM and Book (Dover Electronic Display Fonts Series)	24 Art Nouveau Display Fonts CD-ROM and Book (Dover Electronic Display Fonts Series)				Paperback		Clip Art/ Typography	$16.95	$10.90		4	Indispensable archive for graphic artists and craftspeople contains 24 unique, black-and-white typefaces &#x2014; all with capital letters and most with lower-case letters and numbers. Includes such lively and versatile fonts as Ambrosia, Carmen, Oceana, Odessa, Siegfried, and Titania. Ideal for adding a turn-of-the-century touch to signs, greeting cards, menus and other projects./ 		Dover Publications	1999-02-11 12:00:00 -0500		2007-02-11 01:28:50 -0500										Dover		48
book							9780345423498	0345423496	us	3001 The Final Odyssey	3001 The Final Odyssey				Mass Market Paperback		British/ Contemporary/ Family Saga/ Fantasy/ High Tech	$6.99	$0.01		2.5	One thousand years after the Jupiter mission to explore the mysterious Monolith had been destroyed, after Dave Bowman was transformed into the Star Child, Frank Poole drifted in space, frozen and forgotten, leaving the supercomputer HAL inoperable. But now Poole has returned to life, awakening in a world far different from the one he left behind--and just as the Monolith may be stirring once again. . . . / / A Main Selection of the Science Fiction Book Club&#x00ae;/ Selected by the Literary Guild&#x00ae; and Doubleday Book Club&#x00ae;		Del Rey	28-01-1998		16-01-2007										Arthur C. Clarke		288
book								B000H6K0O8	us	50 Simple Things You Can Do to Save the Earth	50 Simple Things You Can Do to Save the Earth				Mass Market Paperback				$3.69					Earthworks Press	17-01-1991		17-01-2007										Earthworks Group		
book							9780962962899	0962962899	us	52 Invitations to Grrreat Sex	52 Invitations to Grrreat Sex				Paperback		Love & Romance/ Manuals	$29.95	$13.50		4.5	Those familiar with Laura Corn's other sexy sizzlers--101 Nights of Grrreat Sex, 101 Nights of Grrreat Romance, and 101 Grrreat Quickies--will need no introduction to 52 Invitations to Grrreat Sex. Those who are new to her steamy plan to heat up your sex life will want to know that this book is filled with 26 invitations for him and 26 invitations for her--a year's worth of ideas for how to put some passion into your love life./ Each page in this book is actually a sealed invitation. The red ones are for her to open in private and send to her partner. The black ones are for him to send to her. Look through the titles of the invites--including "Kinky Kisses" and "Invitation to Sin"--to find one whose title appeals to you. After you've picked the one you want to use to tantalize your mate, pull the page from the book and crack the seal. Inside you'll find instructions for you, including all the necessary ingredients, plus the invitation to send to your partner. Symbols on the outside clue you to props you'll need--some of these require a bit of money, but others require nothing but a few easily found objects (such as candles) and a willingness to please. Sprinkled with quotes (such as Henry Kissinger's "Nobody will ever win the battles of the sexes. There's too much fraternizing with the enemy"), these invitations are at the same time fun and incredibly erotic. Be warned, though--they're not for the faint of heart!/ 		Park Avenue Publishers (OK)	01-01-1999		13-01-2007										Laura Corn		230
book							9780880387705	088038770X	us	AD&D [2nd] Battlesystem: 	Battlesystem: Miniatures Rules (Advanced Dungeons & Dragons)				Paperback			$14.95	$3.00		3.5			Wizards of the Coast	12-01-1989		15-01-2007										Douglas Niles		210
book							9781560766223	1560766220	us	AD&D [2nd]: Al-Qadim: A Dozen and One Adventures	A Dozen and One Adventures (Advanced Dungeions & Dragons, 2nd Edition)			2nd	Hardcover			$18.00	$3.00					TSR	04-01-1993		15-01-2007										Steven Kurtz		
