medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	platform	key	developer	esrbrating	players
game							0014633076929	B00002SULP	us	Space Hulk: Vengeance of the Blood Angels	Space Hulk: Vengeance of the Blood Angels						Sci-Fi/ Shooter	$49.99	$9.95		5			Electronic Arts			07-07-2005										3DO			Teen	
game							0077000400758	B00002SU9R	uk	Baldies	Baldies (Atari Jaguar)				CD		Retro Gaming/ Atari Jaguar				5			Atari			08-07-2005										Atari Jaguar				
game							0077000400345	B00002SU9G	uk	Battlemorph	Battlemorph (Atari Jaguar)				CD		Retro Gaming/ Atari Jaguar							Atari			08-07-2005										Atari Jaguar				
game							0077000400079	B00007EMAZ	uk	Checkered Flag	Checkered Flag (Atari Jaguar)				Cartridge		Retro Gaming/ Atari Jaguar							Atari			08-07-2005										Atari Jaguar				
game							0077000400086	B00002SU95	uk	Cybermorph	Cybermorph (Atari Jaguar)				Cartridge		Retro Gaming/ Atari Jaguar							Atari			08-07-2005										Atari Jaguar				
game							0077000400284	B00007EMB3	uk	Highlander	Highlander (Atari Jaguar)				CD		Retro Gaming/ Atari Jaguar				4			Atari			08-07-2005										Atari Jaguar				
game							0077000401021	B00002SU9T	uk	Hoverstrike	Hoverstrike (CD) (Atari Jaguar)				CD		Retro Gaming/ Atari Jaguar							Atari			08-07-2005										Atari Jaguar				
game							0077000400314	B00002SU9E	uk	Iron Soldier	Iron Soldier (Atari Jaguar)				Cartridge		Retro Gaming/ Atari Jaguar				5			Atari			08-07-2005										Atari Jaguar				
game							0077000400215	B00002SU9C	uk	Kasumi Ninja	Kasumi Ninja (Atari Jaguar)				Cartridge		Retro Gaming/ Atari Jaguar				2			Atari			08-07-2005										Atari Jaguar				
game							0077000400741	B00002SU9Q	uk	Myst	Myst (Atari Jaguar)				CD		Retro Gaming/ Atari Jaguar							Atari			08-07-2005										Atari Jaguar				
game							0077000400703	B00007EMB6	uk	Ultra Vortek	Ultra Vortek (Atari Jaguar)				Cartridge		Retro Gaming/ Atari Jaguar				5			Atari			08-07-2005										Atari Jaguar				
game							0045496870072	B00000DMAT	us	Golden Eye 007	Golden Eye 007						Player's Choice Games/ Shooter	$39.99	$6.23		4.5	GoldenEye 007 has been a huge success for Rareware, and it's easy to see why. More than a simple movie translation, this has earned its top-seller status on its own. Fans of Doom and Quake will recognize the first-person shooter perspective, but there the similarity ends. James Bond 007 has too much style to simply blast everything in sight and move to the next level. No, as 007, the player has a variety of different missions to perform, each with its own specific objectives. Each mission follows the film closely, and so James must use stealth and cunning as much as brute force. But if you see a Kalashnikov rifle lying around, by all means pick it up./ Controls are easy to master, which is impressive considering the variety of actions the onscreen hero can perform. James can run and walk at variable speeds, duck, pivot, hide, attach mines to enemy helicopters, block doors from opening, and more. The optional auto-aim feature is especially nice. Of course, James Bond is proficient in a wide variety of weapons. You get to use them all, from the trusty Walther PPK (with silencer) to double sets of full-auto machine guns./ The game's faithful tribute to the Bond legacy includes briefing dossiers on each mission, complete with wisecracks from Q and flirtatious comments from Moneypenny. And the 3-D representation of locations and characters from the movie is very impressive. The Rareware team spent time on the set with digital cameras, and it shows./ One of the distinguishing features of the game is the outstanding artificial intelligence of the enemies. When attacked, squads will rush to hit the alarm. If they make it, reinforcements come running. Enemy soldiers respond to being shot or blown up with chilling realism. According to Rareware, there are over 30 different animation routines that come into play, depending on where the soldier is hit. For those who prefer the challenge of human opponents, there are six clever multiplayer modes where up to four players can shoot it out, as teams or solo agents./ With excellent gameplay, intelligence, and style, GoldenEye 007 is a first-person shooter that'll keep you coming back for more. --Jeanne Uy/ Pros:/  &#x2022; Built-in save capability for up to 4 players/  &#x2022; Auto-aim feature helps novice players feel like a sharpshooter/  &#x2022; Rich, complex game world filled with detail and variety/  &#x2022; Great bonus missions/ Cons:/  &#x2022; Sometimes cinematic scenes for fulfilling mission objectives are a bit anticlimactic/ 		Nintendo	01-11-1999		07-07-2005										Nintendo 64			Teen	
