medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	director	stars	features	mpaarating	theatricalDate	minutes
movie							0043396087002	B00006L927	us	13 Conversations About One Thing (Ws)	13 Conversations About One Thing (Ws)				DVD		Sony Pictures Classics	$24.95	$7.99		4	A smartly written and wonderfully acted movie about happiness and fate. 13 Conversations About One Thing takes four characters (a lawyer who hits a housecleaner with his car, then flees the scene; the housecleaner herself; a science professor who leaves his wife; and an insurance claims adjuster who's deeply envious of a coworker who seems irrepressibly happy) and blends their stories into a delicate but potent mix. The characters cross paths at various points, but more often the events reverberate off each other in funny, surprising, or sorrowful ways. For all its cleverness, 13 Conversations never loses sight of the characters' humanity. The remarkable performances (from Matthew McConaughey, Clea DuVall, Amy Irving, John Turturro, and especially Alan Arkin) are riveting. On top of that, this movie, for all its quiet and talkative nature, is visually stunning, each shot a carefully composed portrait of a state of mind. --Bret Fetzer		Sony Pictures	19-11-2002		30-07-2006										Jill Sprecher	Matthew McConaughey/ David Connolly (II)/ Joseph Siravo/ A.D. Miles/ Sig Libowitz/ James Yaegashi/ Dion Graham/ Fernando L&#x00f3;pez/ Brian Smiar/ Paul Austin/ Allie Woods Jr./ John Turturro/ Amy Irving/ Barbara Sukowa/ Rob McElhenney/ Avery Glymph/ Elizabeth Reaser/ Deirdre Lovejoy/ Barbara Andres/ William Severs	Closed-captioned/ Color/ Dolby/ Letterboxed/ Widescreen/ NTSC/ 1.85:1	R	01-01-2001	94
movie							0012569810402	B000FFL2G6	us	16 Blocks	16 Blocks (Widescreen Edition)				DVD		Action & Adventure/ Drama/ Audio & Video	$19.98	$4.98		3.5	An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse. There are however forces at work trying to prevent them from making it. / Running Time: 102 min./ / Format: DVD MOVIE		Warner Home Video	13-06-2006		11-01-2007											Willis/ Cozart/ Morse	AC-3/ Closed-captioned/ Color/ Dolby/ Dubbed/ Subtitled/ Widescreen/ NTSC	PG-13	03-03-2006	102
movie							0026359130328	6304712928	us	2 Days in the Valley	2 Days in the Valley				DVD		Comic Criminals/ Racy/ Murder & Mayhem/ Kidnapping & Missing Persons/ Con Artists/ Cops/ HBO Films/ 4-for-3 Action & Adventure/ 4-for-3 Comedy/ 4-for-3 Drama/ 4-for-3 Television/ 4-for-3 All DVDs	$9.98	$3.80		4	Overlooked in theaters but gaining a modest cult following in video release, writer-director John Herzfeld's underrated 2 Days in the Valley has a lot going for it, not the least being a variety of interesting characters played by a superb ensemble cast. The complex plot centers on a mild-mannered hit man (Danny Aiello) who is hired by an icy killer (James Spader) to assist him on his latest job. Eric Stoltz and Jeff Daniels play the vice cops who stumble on the murder scene. Their investigation leads to a colorful array of San Fernando Valley denizens, including a has-been director (played by director Paul Mazursky) and a snobbish art dealer (Greg Cruttwell) whose lives come together in unexpected and interesting ways. Emphasizing characters that consistently hold our attention with humor and poignant desire, this clever thriller fits nicely into the eccentric category of "Only in California."--Jeff Shannon		Hbo Home Video	30-12-1997		30-07-2006										John Herzfeld	Danny Aiello/ Greg Cruttwell/ Jeff Daniels/ Teri Hatcher/ Glenne Headly/ Peter Horton/ Marsha Mason/ Paul Mazursky/ James Spader/ Eric Stoltz/ Charlize Theron/ Keith Carradine/ Louise Fletcher/ Austin Pendleton/ Kathleen Luong/ Michael Jai White/ Cress Williams/ Lawrence Tierney/ Micole Mercurio/ William Stanton	Closed-captioned/ Color/ Dolby/ Letterboxed/ Widescreen/ NTSC/ 2.35:1	R	27-09-1996	105
movie							0024543088172	B00005JMA8		28 Days Later (Widescreen Edition)					DVD		Horror	$27.98	$16.99		3.37			Twentieth Century Fox Home Video	06-08-2003		20-02-2005										Danny Boyle	Cillian Murphy/ Naomie Harris	Color/ Closed-captioned/ Widescreen/ Dolby	R	27-06-2003	
movie							0025192788321	B000BOH8ZK	us	The 40-Year-Old Virgin	The 40-Year-Old Virgin (R-Rated Fullscreen Edition)			R-Rated 	DVD		Sex Comedies/ Underdogs/ Comedy	$19.98	$5.07		3.5	Cult comic actor Steve Carell--long adored for his supporting work on The Daily Show and in movies like Bruce Almighty and Anchorman--leaps into leading man status with The 40 Year-Old Virgin. There's no point describing the plot; it's about how a 40 year-old virgin named Andy (Carell) finally finds true love and gets laid. Along the way, there are very funny scenes involving being coached by his friends, speed dating, being propositioned by his female manager, and getting his chest waxed. Carell finds both humor and humanity in Andy, and the supporting cast includes some standout comic work from Paul Rudd (Clueless, The Shape of Things) and Jane Lynch (Best in Show, A Mighty Wind), as well as an unusually straight performance from Catherine Keener (Lovely & Amazing, Being John Malkovich). And yet... something about the movie misses the mark. It skirts around the topic of male sexual anxiety, mining it for easy jokes, but never really digs into anything that would make the men in the audience actually squirm--and it's a lot less funny as a result. Nonetheless, there are many great bits, and Carell deserves the chance to shine. --Bret Fetzer		Universal Studios	13-12-2005		30-07-2006										Judd Apatow	Steve Carell/ Catherine Keener/ Paul Rudd/ Romany Malco/ Seth Rogen/ Elizabeth Banks (II)/ Leslie Mann/ Jane Lynch/ Gerry Bednob/ Shelley Malil/ Kat Dennings/ Jordy Masterson/ Chelsea Smith (II)/ Jonah Hill/ Erica Vittina Phillips/ Marika Dominczyk/ Mindy Kaling/ Mo Collins/ Gillian Vigman/ Kimberly Page	AC-3/ Closed-captioned/ Color/ Dolby/ Dubbed/ Full Screen/ Subtitled/ NTSC/ 1.33:1/ Fullscreen	R	19-08-2005	117
movie							0097360404043	B00062IDEW	us	The 4400 - The Complete First Season	The 4400 - The Complete First Season				DVD	2	The 4400	$19.99	$10.99		4.5	The 4400, which began as a five-week miniseries on the USA Network, is built around a deceptively simple, dramatically rich premise. What if all the people, who had ever been abducted by aliens, were suddenly returned to Earth? What would happen? Although they look exactly as they did when they left, they have no knowledge of where they were or why they were taken. Now some even have special powers, like clairvoyance. As with ABC's Lost, which centers on the survivors of a plane crash, The 4400 features a large cast of characters and a host of mysteries to be solved. If the special effects, which are kept to a minimum, can be a little cheesy at times, the concept--and the skillful execution of the concept--easily makes up for it./ Produced by Francis Ford Coppola's American Zoetrope and created by Scott Peters (The Outer Limits), The 4400 is set in Seattle, where the 4400 are returned. The principal characters include Dennis Ryland (Peter Coyote of E.T.), the local supervisor of Homeland Security. He's joined by agents Tom Baldwin (Joel Gretsch of Taken), whose nephew was one of the returnees, and Diana Skouris (Jacqueline McKenzie of Romper Stomper), who takes in one of the youngest returnees./ Guest stars include Michael Moriarty (Law and Order) in "Pilot" and Lee Tergeson (Oz) in "Becoming." Billy Campbell (Once and Again) also appears in several episodes as Jordan Collier, a real-estate magnate and returnee who becomes an advocate for others like himself, many of whom are having problems adjusting to a changed world. Like Lost, one of the biggest success stories of 2004, The 4400 debuted to strong ratings and was renewed for a full season. --Kathleen C. Fennessy/ 		Paramount	21-12-2004		11-01-2007										John Behring/ Scott Peters/ Morgan Beggs/ Milan Cheylov		Closed-captioned/ Color/ Widescreen/ NTSC	NR	11-07-2004	256
movie							0043396014268	B0001Z3TXE	us	50 First Dates	50 First Dates (Widescreen Special Edition)			Special	DVD		Eccentric Families/ Nothing Goes Right/ Adam Sandler/ Dan Aykroyd/ Special Editions	$14.94	$3.00		4	With generous amounts of good luck and good timing, 50 First Dates set an all-time box-office record for the opening weekend of a romantic comedy; whether it deserved such a bonanza is another issue altogether. It's a sweet-natured vehicle for sweet-natured stars Adam Sandler and Drew Barrymore, and their track record with The Wedding Singer no doubt factors in its lowbrow appeal. But while the well-matched lovebirds wrestle with a gimmicky plot (she has no short-term memory, so he has to treat every encounter as their first), director Peter Segal (who directed Sandler in Anger Management) ignores the intriguing potential of their predicament (think Memento meets Groundhog Day) and peppers the proceedings with the kind of juvenile humor that Sandler fans have come to expect. The movie sneaks in a few heartfelt moments amidst its inviting Hawaiian locations, and that trained walrus is charmingly impressive, but you can't quite shake the feeling that too many good opportunities were squandered in favor of easy laughs. Like Barrymore's character, you might find yourself forgetting this movie shortly after you've seen it. --Jeff Shannon		Sony Pictures	15-06-2004		30-07-2006										Peter Segal		AC-3/ Anamorphic/ Closed-captioned/ Color/ Dolby/ Dubbed/ Subtitled/ Widescreen/ NTSC/ 2.40:1	PG-13	13-02-2004	99
movie							0025192198120	B00005JLQE	us	8 Mile	8 Mile (Widescreen Edition)				DVD		Drama/ Artists & Writers/ Teen Drama/ Urban Life/ Down on Their Luck/ Mothers & Sons/ Underdogs/ Race Relations	$12.98	$0.88		4	Rap star Eminem makes a strong movie debut in 8 Mile, an urban drama that makes a fairly standard plot fly through its gritty attention to detail. Jimmy Smith (Eminem), nicknamed B Rabbit, can't pull himself together to take the next step with his career--or with his life. Angry about his alcoholic mother (Kim Basinger) and worried about his little sister, Rabbit lets out his feelings with twisting, clever raps admired by his friends, who keep pushing him to enter a weekly rap face-off. But Rabbit resists--until he meets a girl (Brittany Murphy) who might offer him support and a little hope that his life could get better. Under the smart and ambitious direction of Curtis Hanson (L.A. Confidential, Wonder Boys) and ably supported by the excellent cast and the burnt-out environment of Detroit slums, Eminem reveals a surprising vulnerability that makes 8 Mile vivid and compelling. --Bret Fetzer		Universal Studios	18-03-2003		30-07-2006										Curtis Hanson	Eminem/ Kim Basinger/ Mekhi Phifer/ Brittany Murphy/ Evan Jones/ Omar Benson Miller/ De'Angelo Wilson/ Eugene Byrd/ Taryn Manning/ Larry Hudson (III)/ Proof/ Mike Bell/ DJ Head/ Michael Shannon/ Chloe Greenfield/ Mary Hannigan/ Anthony Mackie/ Strike/ Nashawn 'Ox' Breedlove/ Na'Keya Snoddy	Anamorphic/ Closed-captioned/ Color/ Dolby/ DTS Surround Sound/ Dubbed/ Subtitled/ Widescreen/ NTSC/ 2.35:1	R	08-11-2002	111
movie							0667068956726	B00003CXXP		A.I. Artificial Intelligence (Widescreen Special Edition)					DVD	2	Feature Film-action//Adventure	$12.99	$10.00		3.33			Universal Studios	08-02-2005		20-02-2005										Steven Spielberg	Haley Joel Osment/ Jude Law	Color/ Closed-captioned/ Widescreen/ Dolby/ DTS Surround Sound	PG-13	29-06-2001	
movie							0012569637733	6303092365	us	Ace Ventura: Pet Detective	Ace Ventura: Pet Detective				VHS Tape		Slapstick/ Comedy/ Comedia	$9.94	$0.50		4	The 1994 box-office hit that turned comedy maniac Jim Carrey into Hollywood's first $20-million man, this gag-filled no-brainer stars Carrey as the titular rubber-faced gumshoe who tracks down lost pets for his heartbroken clients. Ace's latest case involves the apparent kidnapping of the Miami Dolphins' team mascot, Snowflake the dolphin (natch). His investigation is a source of constant aggravation for Miami police lieutenant Lois Einhorn (Sean Young), who turns out to be packing more than a pistol under her skirt. Friends fans will appreciate the presence of Courtney Cox, who remains admirably straight-faced as the Dolphins' publicist and Ace's would-be girlfriend, but of course it's Carrey who steals the show with shameless abandon. One viewing may suffice for a lot of people, but Carrey's hyper antics have made Ace Ventura: Pet Detective one of the bestselling videos of the 1990s. --Jeff Shannon		Warner Studios	10-09-1996		07-07-2005										Tom Shadyac	Jim Carrey/ Courteney Cox	Color/ HiFi Sound/ NTSC	PG-13	04-02-1994	87
